"Region","Year","consumption","gdp","indust.production","cpi","interest.nom","gas.price","oil.price","unemployment.rate","population","exchange.rate.index","Revenue"
"Americas.Other",2001,2966488871778.84,3942756410031.46,1210674501608.25,46.3963355025559,0.129502285667175,230701322073.294,1975261352656.3,0.0854522757820359,528283160,63.9379008043693,NA
"Americas.Other",2002,2976420555013.32,3958264023139.94,1195780074018.25,48.2868110024477,0.131699311345755,272078617229.836,2247204033397.35,0.0889670744494962,535509360,60.9363377828089,NA
"Americas.Other",2003,3018328225706.74,4020176352300.27,1203284117124.07,51.1406128118981,0.13021738705847,295682092564.114,2576917085989.16,0.08754348637544,542599538,57.5938252698458,NA
"Americas.Other",2004,3166832451190.69,4274905419216.24,1298208300384.1,54.0153803005917,0.100424873525081,337128310304.21,3189423505128.79,0.0826228206279778,549590595,60.4500497884923,0
"Americas.Other",2005,3315464941696.15,4456859468239.18,1341552557101.7,59.0247761778238,0.099990680454432,436123099484.716,4225869594926.62,0.0779339841943732,556504290,73.4626444190362,0
"Americas.Other",2006,3508044828527.48,4695845546027.71,1401367776975.29,62.0422354110028,0.0714180291555861,566024670817.836,4478322455916.21,0.0716965214278455,563337673,81.7287296894967,0
"Americas.Other",2007,3729307024167.5,4954769972375.01,1461055346686.26,65.4310213476867,0.0855928055587784,557820077873.834,4099056218143.37,0.0679809573503286,570091451,87.4319560043157,0
"Americas.Other",2008,3889296629111.97,5148989582599.77,1501438661430.65,72.7643003696898,0.109229319279628,529286992946.165,4746317980405.47,0.0644450190592074,576783744,90.3721615056015,39686
"Americas.Other",2009,3909089402721.57,5052559301911.8,1434171662670.89,77.5107473464361,0.105829152428475,656906389143.774,2338241825036.62,0.0742786791803798,583430031,89.1597634000242,33645
"Americas.Other",2010,4119997179727.27,5348249399727.22,1561729442043.84,80.952380952381,0.0835804782616474,559083663171.563,3064127181243.6,0.0691087731392623,589932554,100,42082
"Americas.Other",2011,4299433411770.94,5581169802127.99,1571429456800.82,85.8563697422724,0.0873834419648088,794893049693.026,4717806434748.9,0.064490738288057,596538552,103.181419554033,42467
"Americas.Other",2012,4449112815766.29,5736304698379.85,1598534025314.7,89.8081341271807,0.0879305933350956,926330852856.601,4164574707241.61,0.0635820483279744,603096250,92.0107342333294,35049
"Americas.Other",2013,4592440790971.3,5895991443377.26,1627665628079.28,94.0018577252151,0.0839893640522597,973090613167.396,3906868232622.18,0.0631545059425628,609598313,86.4266351337068,45426
"Americas.Other",2014,4665827109361.6,5955083509560.24,1622525309623.62,101.315538457988,0.100753254015536,698129043164.92,3283505083782.74,0.0614829116236221,616001190,84.598858995196,45714
"Americas.Other",2015,4382850231756.55,5538773034510.13,1414420972323.05,112.320770965847,0.0708790261619302,421360527787.198,1025325123955.57,0.0662826565102124,622301083,69.6184131141622,23179
"Americas.Other",2016,4383283113751.79,5517027029858.42,1393435006597.97,163.319024247534,0.0869955068889531,246468108168.334,781637542865.673,0.0768936094172468,628488528,73.0372164597379,19768
"Americas.Other",2017,4484774899514.57,5615914869321.38,1394131344834.49,99.4159730091043,0.0771743498468833,338796404015.597,1212146326372.08,0.079402314172332,634554056,79.264076151924,23033
"Americas.Other",2018,4571513387447.26,5698700103821.52,1405745889323.46,93.1868745795684,0.0654618934698479,542643880807.315,1770224215305.83,0.0782858301227686,640467174,70.9818785982945,25827
"Americas.Other",2019,4545120559331.85,5664193156748.53,1382071203151.89,99.9339327679136,0.0558512205707792,0,0,0.0786640884250091,646430843,69.6277253331944,23294
"Asia.Oceania.Africa",2001,9787384227902.04,14748970544499.9,4733702552059.49,48.8788006026807,0.0805856467991826,5181621811045.71,69756855457478.8,0.0534405858226141,4464648777,96.7623119387575,NA
"Asia.Oceania.Africa",2002,10175230992061.4,15278089028546,4873549097139.86,52.0211109481765,0.0766220450768608,4703091023413.08,68491445131598.5,0.0553605366187037,4531801101,94.5557994955347,NA
"Asia.Oceania.Africa",2003,10503493803700.5,15990306352023.7,5159480753012.98,54.2260823172897,0.0787871826498246,5086414393165.3,74190382375799.6,0.0562678583412377,4598697596,88.378589634496,NA
"Asia.Oceania.Africa",2004,10908781483122.7,16911634529955.5,5490432791239.33,57.7174284343838,0.0584381029258089,5878366284475.71,109733009789609,0.0546975686422678,4665702948,85.8480509182888,68751
"Asia.Oceania.Africa",2005,11472052561677.2,17813810318801.5,5833109772734.87,61.1286980914591,0.0683107008795768,7858384616608.75,148766113686097,0.0546858948091637,4733240380,84.9167633662754,82739
"Asia.Oceania.Africa",2006,11980403966127.4,18850461354334.5,6253636361389.49,66.0837880431544,0.0728039877895485,9310974688803.59,159175445821303,0.0526406705520438,4801409418,86.2553468540985,101564
"Asia.Oceania.Africa",2007,12702243406515.2,20053840955553.1,6672006734972.26,70.469916884091,0.0802264276286509,9688019911249.59,151112105680581,0.0514087926422608,4869724505,89.3289045550792,119769
"Asia.Oceania.Africa",2008,13110480421041.9,20827281259613.7,6969276748957,80.0505081387374,0.0909375270383331,9878958885226.88,178674688744991,0.0510785868713195,4938904408,97.0102252445766,120889
"Asia.Oceania.Africa",2009,13559924731046.5,21229864547205.3,6956895036739.49,84.7716895462814,0.110128622848291,11450033714449.3,112733879795162,0.0526996927673471,5008139475,101.108202455343,80398
"Asia.Oceania.Africa",2010,14560501626499.1,22657974219640.7,8088084885846.11,91.2280701754386,0.0581642685085743,10471879783032.2,147533812207244,0.0522154073775235,5077482169,100,110955
"Asia.Oceania.Africa",2011,14963176654995.5,23691409545131.3,8075510383860.44,97.7193472557571,0.0645372929224465,15084424652453.9,182315780067499,0.0522785937632485,5147017744,102.694889181925,148260
"Asia.Oceania.Africa",2012,15620830557041.7,24800121625005.4,8440282525285.79,103.81817692726,0.0849250175942154,15699447489673,167947304836910,0.0527036870159363,5213755529,108.677144402408,156310
"Asia.Oceania.Africa",2013,16340347478739.2,25968873916780.9,8826414699670.69,107.199529367394,0.0826327656738553,16583430137195.4,158415529676761,0.052716399466806,5284212306,114.619803212294,157673
