"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Afghanistan","AFG","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","0","0","0.0041711607233211","0.044441184645058","0.151180706206547","0.42275647369675","0.531305822697037","0.528158215631314","0.257750331344148","0.389289689043069","0.464104487909565","0.163296982404359","","","","","","","","","","","","","","","","","","","","","0.120477042109486","0.0194775766649652","0.0147487007029468","0.0147590974773161","0.0147771902324877","0.0139711219304748","0.0153953430305794","0.010372699124045","0.0297271005463438","0.0519919549029144","0.0513899292219139","0.0397766839499047","0.00562523808423426","0.00494491237682454","0.00299298300553563","0.00338093060304049","0.00472841945250917","","",
"Angola","AGO","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","0.0139247868536926","0.00802875335499867","0.00218431924078367","0.00913712197393675","0.00919205557312382","0.00756677049987715","0.0103221496567991","0.00711833690801796","0.00641892157893081","0.00675261072644778","0.0183113044234519","0.0386210090441244","0.0380144434377905","0.0697532911952145","0.0832965093516018","0.0720568901674239","0.066885305763808","0.067360644888533","0.0535851333135893","0.0884690475798805","0.142667122978375","0.176769951114598","0.11061456736516","0.11794758821519","0.115311589899823","0.078537054992305","0.0804769080143278","0.0912745613936945","0.0674385774633509","0.079863811970496","0.0897510607407296","0.119795225568884","0.108784224858265","0.11624836381373","0.0855670898453208","0.0623095971860932","0.0863265079656948","0.360864822756495","0.784963394276457","","",
"Albania","ALB","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.447717084034577","0.392544189611382","0.428616074097087","0.284035649187514","0.452822267160157","0.442237836685653","0.278797043296636","0.237912268050754","0.204439207598281","0.037532557027331","0.0197664275724978","0.0153857680993487","0.0145391859702109","0.0141060421524269","0.00756922705334567","0.00319571171300656","0.0225466023811329","0.0170703578870492","0.0260391882009138","0.011262657835666","0.0153568399885581","0.0141532904580241","0.0245291550081959","0.00764404776065928","0.0279769226694363","0.0258746802113713","0.0051142244360665","0.00964095210572273","0.0181089915689078","0.0187310825074104","0.0206004703151895","0.0138503395376535","0.0101121601296311","0.0199805203548483","0.0430425253330278","","",
"Andorra","AND","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","0.0133058948425445","0.00847525527293969","0.00989453767049938","0.0180461772407039","0.0253717548826249","0.085229526757371","0.0872367949980984","0.124695349857202","0.18535946758622","0.3498167312585","0.269966489703387","0.149491054213807","0.0341454862244178","0.312772242326274","0.323104417281535","0.375070728811477","0.415148233001339","0.300703692695623","0.301874950262377","0.317950629915871","0.280539385890878","0.380192798640219","0.314064213276033","0.419892134796485","0.32283416632129","0.391920049691176","0.49101047482204","0.600417583580667","0.511030566167571","0.449675617077733","0.807521313794306","1.0337969298562","0.875853858885725","0.853515872446322","0.851227919463176","1.27499501072171","1.49901879711061","1.51583355791513","1.51065195181523","1.7078482727548","1.34640929066554","1.9244450998879","1.98730273226816","2.02124991764326","1.81076283421162","1.28335828334981","0.739361714260253","0.845457310235524","1.16148506279333","","",
"United Arab Emirates","ARE","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","0.0748224990028809","0.0755238365174297","0.169303983377317","0.309375824073706","0.46109420424792","0.412430573802656","0.219847967267957","0.04632599850277","0.328332070652819","0.401089634981331","0.523854475811483","0.652988193587351","0.478101316949426","0.450940594069906","0.468600676790472","0.468349602957208","0.495028507859723","0.366278315836982","0.476998059598102","0.387671156108303","0.497376592106634","0.629322740981324","0.743224366256476","0.613276654119978","0.50825020366204","0.775673194976367","0.968764700889853","0.81368653427428","0.770690202739522","0.765193270450652","1.06856129703653","1.1591153824967","1.15537397548099","1.10312502632166","1.27185970008001","0.966022415351101","1.30697226191958","1.38215395960281","1.38043983332286","1.21668711928062","0.936459186763795","0.527505182412284","0.573505694704145","0.786138979292048","","",
"Argentina","ARG","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","0.0193964143111028","0.0214963316608123","0.0154652297756612","0.0125105734091511","0.0203139863513302","0.061296184006525","0.0572943982404343","0.0222667977027626","0.0290895400405438","0.0861022406486205","0.149630244253809","0.146028228206976","0.0663699553025466","0.161866924210459","0.201303256047909","0.186019829233893","0.151721543454159","0.102949074153477","0.113334173985668","0.260219261509103","0.149388096194625","0.118793590873966","0.0853244890482942","0.102250619625434","0.0839529426742212","0.0946404439781652","0.11008667587424","0.111438509808146","0.0993394421841016","0.180661075297268","0.260340347483389","0.329991494199331","0.806298879736205","0.656742699349267","0.560977163914296","0.603504309327521","0.673857014816318","0.559037584925189","0.485837673995033","0.53042241383118","0.379224814815787","0.460609398280019","0.50490445673331","0.50352906542696","0.394538674445918","0.237198515123943","0.15655791139637","0.191036916703082","0.394191155484303","","",
"Armenia","ARM","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"American Samoa","ASM","Natural gas rents (% of GDP)","NY.GDP.NGAS.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
