"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2094413407.82123","","","","","","","","","","",
"Afghanistan","AFG","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27129372832.9076","27855170982.3666","27778516654.5101","29691204742.6642","30697467065.9915","32543024837.0147","34972566197.2221","37342728159.6363","40894195703.0892","42476772438.8885","44279734274.3704","51001999661.4359","54513734657.1351","61179478161.5043","63575161943.7571","63441870172.6913","64610763583.8895","66116755011.4416","64099510827.9987","62843576322.7749","",
"Albania","ALB","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7197034348.79113","5941135325.6357","5599850678.34557","5745987702.13024","5996823066.34711","6272057896.77756","6708073279.21706","7312787494.69629","7588060810.08922","7997733235.70981","8457782477.21931","9440390160.54964","10334867279.7963","10443346767.7923","10646768658.2314","10820451293.9125","10834055728.1499","11047195071.6157","11405951891.8727","11508475831.9246","11789031208.4182","12087433986.2628","12449808392.993","12869992327.3902","",
"Andorra","AND","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","822961122347.515","850755654646.281","876409444405.159","906248698147.033","964908062315.925","1011530984980.57","1096096712844.61","1180481345455.95","1280173510556.68","1268531168059.08","1247664341143.15","1331379562408.38","1400103276260.46","1477273208423.49","1565127621154.8","1567679059731.8","1561569093350.41","1625672402850.67","1664487392672.73","1712020996220.95","",
"United Arab Emirates","ARE","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149790338950.84","158768228954.272","162554695951.997","177801783501.968","180485883910.387","203609564105.812","225968751492.372","252867493660.184","197517144424.821","151476538605.345","168383277462.817","152999343050.013","169130164482.813","185027223002.199","156477670132.969","157907734017.29","173661448590.231","179281897109.553","203656557750.256","",
"Argentina","ARG","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","84824659223.9585","93061660339.4025","90731741377.6463","88142081460.404","97456144265.8866","105879557349.843","104731209347.628","107921464540.003","112920937956.456","120088052289.114","122579408191.704","128896854337.285","130801518596.564","136758559518.788","146488273122.684","146457891057.923","136380354175.007","139480407195.174","137930904239.677","156598277632.109","166594083307.231","160623421931.518","153268779834.161","159762235996.162","166406555485.953","153017346725.577","167193348238.277","170112155922.472","163088592636.326","153305444327.648","150867531673.281","173170309210.453","196039875375.659","204953726385.115","215508571355.756","207802009234.544","218162907528.101","235753630048.397","243904019848.428","240736551938.671","239617211026.568","227259562274.58","198100812977.924","211906773124.317","229599138494.079","247405478234.478","271823914009.186","296627515241.849","317190557240.012","304884357357.115","336350991663.692","365527379975.759","370551121004.651","384917114950.2","372169408782.053","387644467779.82","384775170562.936","399856936646.294","391271674234.477","368892691062.097","",
"Armenia","ARM","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3609134327.67072","3886192522.69059","3986443063.00124","4248004556.59393","4413054431.51913","4449506141.85416","4792642093.58688","5118061706.57987","5520190362.06674","5948895378.77435","6490301657.32013","7151664707.21595","7792043103.73285","8742040555.14238","9139377906.1608","8768372348.39097","9102915079.33003","9358443901.82423","10094996709.8833","10330579976.7261","10459047923.6829","9832104450.7167","9624258113.16621","10738928939.6574","11141758264.5888","12452904582.7258","",
"American Samoa","ASM","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Final consumption expenditure (constant 2010 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","984592592.592592","","","","","","","","","","",
