"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1570759660.73681","1732071853.93625","2034770046.89827","2299121745.22895","2613355209.6605","2812835911.61748","2974343825.17753","3155991202.32536","3353890829.69432","3682829388.7305","3918312112.9598","4116617525.81257","4230474129.93776","4406932339.02125","4373179007.66875","4775808522.82375","5304712203.43493","5561930700.54523","",
"Angola","AGO","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21688555102.418","21669763615.9997","24877095455.5928","29975887902.5964","33930711928.8491","40648619946.7296","44537380240.8251","42801571935.367","43884484819.7663","43264018874.2536","47886869625.3865","49418970474.5477","48618684452.0259","52262022202.4685","52790011922.6107","51919896024.5887","50046774014.2657","48657076950.082","",
"Albania","ALB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1256818823.20238","1037473035.96186","1142809741.88749","1336116963.50805","1526818422.12401","1765791050.12519","1820276981.09096","2137413293.04208","2283120338.71941","2397200735.18843","2594873338.00843","2602458668.16555","2777302850.40121","2840207305.31904","2974273860.91727","3041626393.75697","2854538483.5193","2925620882.71034","2827266499.70607","2900287194.03252","2955513788.68099","3008023633.61546","3306499436.67636","3330592619.8433","",
"Andorra","AND","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","777991460249.288","824633943983.81","824737249954.367","796372580333.07","829703251021.724","899830051412.542","935019499325.313","974756537276.295","983671836831.624","1029362868149.26","994454607846.933","1028035823061.38","1102794490027.64","1157897932294.5","1173085912395.81","1199130361591.19","1241882771262.5","1300085059670.61","1279637354009.85","1297378900117.03","1300745113929.45","",
"United Arab Emirates","ARE","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119397329956.592","114981810252.374","123135789864.731","134661044017.873","139816429779.416","159138100436.07","154869966504.959","158855170530.526","148509984266.47","152227787365.555","165132407317.815","170845807885.162","176003526480.403","178863265008.86","188837813010.095","193224157458.379","192756561269.975","196136333445.218","200264942138.03","",
"Argentina","ARG","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","44520929440.4102","45014992302.0731","46919612669.3734","51364874559.1826","57295550194.7511","56762557913.4173","60355211198.2704","62240643914.3779","62742142872.486","66530201794.238","65804352256.5726","66169993445.0244","71879861650.4315","65888747748.9788","70857685229.3877","69944364770.5217","62485963355.165","60480550582.2703","63733005781.2033","64162748792.3074","58612021762.2455","63670394081.6026","65807667178.8252","63470194515.7379","58018891112.9169","54929206470.7599","60799743366.9822","67497900870.1064","71190236533.7945","75608552660.0852","72923362597.4079","77439831587.356","83922428002.1436","85555643756.5648","79889730213.7894","78135869454.2946","74079454708.4722","65666712388.2304","74966012412.1783","83073837932.1349","88502201577.9391","96170848625.4511","101973170046.612","105105829488.819","98344013165.2887","107003102712.487","113242365716.77","110749757847.906","111360204064.491","107504874805.797","108998986493.918","102649622504.091","105013471797.226","101814663896.533","96926476917.0638","",
"Armenia","ARM","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Industry (including construction), value added (constant 2010 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
